alexmagpie	press	org	pos-towards	1.094444444	Scousers get a bad press - they're really nice.	2011-01-29T17:15:00		
alexmagpie	Scousers	per	pos-towards	1.094444444	Scousers get a bad press - they're really nice.	2011-01-29T17:15:00		
alexmagpie	they	org	pos-towards	1.094444444	Scousers get a bad press - they're really nice.	2011-01-29T17:15:00		
asdasta	British	gpe	pos-towards	2.113333333	"The UK release would be deemed ""limited"" also, but there are so few cinemas in the UK compared to America that there's no point."	2009-01-09T01:22:00		
asdasta	filmgoers	per	neg-towards	-0.85	"This is very much an objective matter - I don't expect casual filmgoers to call it a 2008 film (as they will have no idea), but those that know when it was first released should."	2009-01-09T01:22:00		
asdasta	filmgoers	per	pos-towards	0.627777778	"This is very much an objective matter - I don't expect casual filmgoers to call it a 2008 film (as they will have no idea), but those that know when it was first released should."	2009-01-09T01:22:00		
asdasta	TDK	org	pos-towards	1.81	The best of the year other than TDK.	2009-01-09T00:18:00		
asdasta	US	gpe	pos-towards	1.164444444	a) General US release was 2008	2009-01-09T00:18:00		
asdasta	US	gpe	pos-towards	1.164444444	"That's not correct - it's only getting a limited US release (no ""wide"" release), as with many other Oscar-period films at the moment."	2009-01-09T01:22:00		
asdasta	US	gpe	pos-towards	1.164444444	"Yes, the ""limited"" release IS the general release for the US."	2009-01-10T14:31:00		
asdasta	Wrestler	per	pos-towards	1.39	"Anyway, The Wrestler was a fantastic film."	2009-01-09T00:18:00		
avaas	chavs	per	neg-towards	-0.15	"birmingham, liverpool os full of chavs, though manc is a good contender, aberdeen though in the beautiful country of Scotland, I would says can never contend with the others"	2011-01-29T17:29:00		
avaas	chavs	per	pos-towards	1.638888889	"birmingham, liverpool os full of chavs, though manc is a good contender, aberdeen though in the beautiful country of Scotland, I would says can never contend with the others"	2011-01-29T17:29:00		
avaas	others	per	neg-towards	-0.398888889	"birmingham, liverpool os full of chavs, though manc is a good contender, aberdeen though in the beautiful country of Scotland, I would says can never contend with the others"	2011-01-29T17:29:00		
avaas	others	per	pos-towards	1.638888889	"birmingham, liverpool os full of chavs, though manc is a good contender, aberdeen though in the beautiful country of Scotland, I would says can never contend with the others"	2011-01-29T17:29:00		
avaas	Scotland	gpe	pos-towards	0.612222222	"birmingham, liverpool os full of chavs, though manc is a good contender, aberdeen though in the beautiful country of Scotland, I would says can never contend with the others"	2011-01-29T17:29:00		
Baldimo	anyone	per	neg-towards	-1.347777778	"Illegal immigration is a bad thing, it doesn't benefit anyone but those that hire illegals and it places hardships on the communities that have to support them."	2007-01-24T07:58:00		
Baldimo	areas	loc	neg-towards	-0.632222222	If your here in the states legally then there is no reason to hang out at the day laborer areas because you can get a job with no issue.	2007-01-24T07:58:00		
Baldimo	citizens	per	neg-towards	-0.756666667	Your right it isn't the job of the private citizens to deceide who leaves and who stays.	2007-01-24T07:58:00		
Baldimo	citizens	per	pos-towards	1.016666667	Your right it isn't the job of the private citizens to deceide who leaves and who stays.	2007-01-24T07:58:00		
Baldimo	Dem	org	pos-towards	1.156666667	This immigration thing is like the war on terror if we don't handle it the way the Dem's or Libs want then it is the wrong action at the wrong time.	2007-01-24T07:58:00		
Baldimo	everyone	per	neg-towards	-1.806666667	Well you might not because you think everyone deserves a fair shot.	2007-01-24T07:58:00		
Baldimo	everyone	per	pos-towards	1.265555556	Well you might not because you think everyone deserves a fair shot.	2007-01-24T07:58:00		
Baldimo	Green Party	org	neg-towards	-2.677777778	The fact that they don't is a failure of the fed govt to act as the citizens of the US want them act.	2007-01-30T12:20:00		
Baldimo	Home Depots	org	pos-towards	1.833333333	Most Home Depots are a great place for ICE to start their rounds.	2007-01-24T07:58:00		
Baldimo	illegals	per	neg-towards	-0.43	The illegals entering our country without permission broke the first law.	2007-01-23T13:48:00		
Baldimo	Iraq	gpe	neg-towards	-2.094444444	"Illegal immigration is a bad thing, it doesn't benefit anyone but those that hire illegals and it places hardships on the communities that have to support them."	2007-01-24T07:58:00		
Baldimo	Mexico	gpe	pos-towards	0.736666667	The illegals entering our country without permission broke the first law.	2007-01-23T13:48:00		
Baldimo	people	per	neg-towards	-0.593333333	White people can be lazy and they don't seem to work as hard.	2007-01-23T13:48:00		
Baldimo	People	per	neg-towards	-2.071111111	People who live in drug infested neighborhoods have for years harassed the drug dealers have done lots of things to try and get them out of their areas.	2007-01-24T07:58:00		
Baldimo	people	per	neg-towards	-0.601111111	We want people to live here who will blend into society not bend society to their needs.	2007-01-25T09:51:00		
Baldimo	people	per	pos-towards	1.848888889	It doesn't mean you can't harass people who break the law.	2007-01-24T07:58:00		
Baldimo	people	per	pos-towards	1.335555556	What gets me is that they know these camps are there but they don't deport the people staying in those camps.	2007-01-30T12:20:00		
Baldimo	San Diego	gpe	neg-towards	-0.282222222	If you drive around in any area of San Diego it isn't very hard to tell where the illegal's hang out.	2007-01-24T07:58:00		
Baldimo	them	per	neg-towards	-0.15	Why even bother moving them when that would give the impression that what they did by crossing the border illegally is ok.	2007-01-30T12:20:00		
Baldimo	them	per	pos-towards	1.358888889	"Illegal immigration is a bad thing, it doesn't benefit anyone but those that hire illegals and it places hardships on the communities that have to support them."	2007-01-24T07:58:00		
Baldimo	them	gpe	pos-towards	0.557777778	Look at the border states and see how many of them have bilingual education.	2007-01-25T09:51:00		
Baldimo	they	per	pos-towards	1.016666667	"Illegals should be treated fair, but they have no right to be here."	2007-01-23T13:48:00		
Baldimo	they	per	pos-towards	1.335555556	What gets me is that they know these camps are there but they don't deport the people staying in those camps.	2007-01-30T12:20:00		
